TipName,TipText
basic_build_perimeter,Building a perimeter around your base can help shield you from mobs at night
basic_check_mat,"If you find yourself stuck, check what quests you have available in your MAT"
basic_check_quests,Read the quests!
basic_check_spiders,"Check your roof, spiders can climb up it in the night"
basic_cobblestone_generator,You can connect the water and lava on the back of the ship together to make a cobblestone generator
basic_seeds,Seeds for most crops can be found in structures or dropped from sifting dirt
basic_temperature_day,"The temperature is hottest during the middle of the day, make sure to stay away from heat sources during this time"
basic_temperature_night,"The temperature is coolest during the middle of the night. If you can protect yourself from hostiles, it would be an ideal time to work outside"
basic_temperature_shade,You can cool down by standing in the shade
basic_temperature_underground,The environment is colder deeper underground
diet_balanced_diet,It's important to maintain a balanced diet to avoid negative effects. See your nutritional information by clicking the Diet button in your inventory.
diet_high_fruits,"If you eat enough fruits, you will be granted increased health regeneration speed"
diet_high_grains,"If you eat enough grains, you will be granted increased movement, mining, and attack speed"
diet_high_proteins,"If you eat enough proteins, you will be granted increased attack damage"
diet_high_vegetables,"If you eat enough vegetables, you will be granted increased damage resistance and knockback resistance"
diet_low_fruits,Not eating enough fruits will stop natural regeneration
diet_low_grains,"Not eating enough grains will decrease movement, mining, and attack speed"
diet_low_proteins,Not eating enough proteins will decrease attack damage
diet_low_vegetables,Not eating enough vegetables will increase damage taken
diet_sugars,"Eating lots of sugar will make you faster, but too much will cause weakness and hunger"
drink_acceptable_water,"Acceptable water is usually safe to drink, but has a 5% chance of giving hunger"
drink_camel_pack,A camel pack will automatically drink water for you
drink_camel_pack_lava,Drinking lava from a camel pack will quickly kill you (why would anyone do that?)
drink_campfire_purification,Campfires can be used to purify four water bottles at once
drink_composting_leaves,Compost leaves instead of saplings to maximize how much dirt and water you get per tree
drink_composting_sawdust,"If you break logs into sawdust, you can compost it for more dirt or water"
drink_stillsuit,A stillsuit will regulate body temperature and significantly reduce your water consumption
exdeorum_crook_drops,Crooks can break leaves for increased sapling drop rates and silk worms
exdeorum_crook_oak_leaves,Using a crook on oak leaves will give more drops than other types of leaves
exdeorum_crucible_lava,A crucible can melt stone into lava
exdeorum_crucible_ores,Crucibles can be used to melt down ores or ore chunks
exdeorum_crucible_water,A crucible can melt organic material directly into water
exdeorum_sifting_automation,Sifting can be automated using a Deployer from Create or with a Mechanical Sieve
exdeorum_sifting_crushed_blackstone,"Sifting crushed blackstone will drop nether ingredients, with extra chances of gold or cobalt"
exdeorum_sifting_crushed_deepslate,"Sifting crushed deepslate will drop common, rare, and very rare ore chunks, plus redstone, lapis, and gemstones"
exdeorum_sifting_crushed_end_stone,Sifting crushed end stone will drop end ingredients
exdeorum_sifting_crushed_netherrack,"Sifting crushed netherrack will drop nether ingredients, with extra chances of crimson and warped items"
exdeorum_sifting_dirt,Sifting dirt will drop pebbles and random seeds
exdeorum_sifting_dust,"Sifting dust will drop common ore chunks, plus redstone, bone meal, and pebbles"
exdeorum_sifting_gravel,"Sifting gravel will drop common, uncommon, and rare ore chunks, plus flint, coal, redstone, and diamonds"
exdeorum_sifting_moss,Sifting moss will drop random flowers
exdeorum_sifting_multiple_sieves,"When placed next to each other, up to nine sieves can be sifted at once"
exdeorum_sifting_podzol,Sifting podzol will drop slime and random saplings
exdeorum_sifting_sand,"Sifting sand will drop uncommon ore chunks, plus quartz, and certus quartz"
exdeorum_sifting_soul_sand,"Sifting soul sand will drop nether ingredients, with extra chances of quartz"
exdeorum_sifting_upgrade_mesh,Upgrade your mesh to get higher yields from sifting
misc_building_gadgets,Building gadgets can be used to place or replace large amounts of blocks at once
misc_building_gadgets_exchanging,"An Exchanging Gadget can replace a wall of dust with solid blocks, allowing it to be mined without affecting blocks above it"
misc_crafting_end_stone,"End stone can be made from glowstone in a barrel of lava, or automated in an extruder with resonant ender"
misc_crafting_netherrack,"Netherrack can be made from redstone in a barrel of lava, or automated in an extruder with destabilized redstone"
misc_endermen_shooting,"Endermen can teleport fast enough to dodge arrows, but not fast enough to dodge bullets"
misc_finding_cobalt,Cobalt can be found plentifully in the Foundry structure
misc_finding_netherite,Debris and netherite can be found in the Foundry structure
misc_plastic_scraps,Plastic scraps can be found in structures and melted into plastic
misc_substituting_paste,Paste can replace slime balls in most recipes
structures_loot_preview,JEI can show you what loot is found in structure chests
structures_navigation_rover,You can make a rover to navigate the wastes easier
structures_trash_piles,You can find useful scraps by looking through the piles of trash found in structures
structures_warning_spawners,Just because you can't see a spawner doesn't mean it isn't there
tech_if_dissolution_spawn_eggs,Mob spawn eggs can be crafted in a dissolution chamber
tech_mekanism_energy_redstone,Redstone dust can be converted directly into energy in any Mekanism machine
tinkering_bone_meal_parts,Bone tool parts can be made from bone meal
tinkering_crafting_seared_stone,"Once you have a foundry, more seared stone can be made by melting cobblestone (does not work in a Smeltery)"
tinkering_ore_doubling,"Ores give higher yields in a smeltery, and even higher yields in a Foundry"
tinkering_part_swapping,You can swap the parts of a tool using a tinker station or tinker's anvil
